Arbitro;Partite;Media Totale;Media Home;Media Away
Iosu Galech Apezteguía;14;"29,21";"14,36";"14,86"
Jesús Gil Manzano;14;"23,5";"12,07";"11,43"
F.J.H. Maeso;14;"23,5";"13,21";"10,29"
Ortiz M;14;"23,36";"12,43";"10,93"
Isidro Diaz ;15;"24,67";"10,93";"13,73"
J.L.M. Montero;13;"27,92";"13,92";14
Victor García Verdura;14;"23,21";"10,79";"12,43"
Guzman J;13;"25,46";"12,31";"13,15"
Adrián Cordero Vega;14;"24,93";"12,29";"12,64"
Miguel Sesma Espinosa;14;"27,71";"13,07";"14,64"
Mateo Busquets Ferrer;13;"23,46";"11,46";12
Quintero A;13;"25,54";"12,15";"13,38"
R. deB. Bengoetxea;14;"22,36";"11,36";11
César Soto Grado;14;"22,86";"13,29";"9,57"
A.Hernández;14;"22,5";"11,07";"11,43"
Javier Alberola Rojas;15;"26,4";"13,07";"13,33"
Cuadra G;13;"24,08";"11,92";"12,15"
uan Martínez Munuera;12;"29,5";"13,33";"16,17"
Sanchez J;10;"27,2";"13,3";"13,9"
Alejandro Ruiz;13;"25,69";13;"12,69"
Víctor García Acosta;1;13;5;8
