Stagione 2025/26;Squadra;;Falli Subiti;Falli Commessi
2025/26;Atalanta;Casa;10,4;11,1
2025/26;Atalanta;Fuori;8,9;12,2
2025/26;Bologna;Casa;14;12,6
2025/26;Bologna;Fuori;13,9;14,1
2025/26;Cagliari;Casa;14,7;14,2
2025/26;Cagliari;Fuori;13,8;14
2025/26;Como;Casa;11,8;12,7
2025/26;Como;Fuori;11,6;14,4
2025/26;Fiorentina;Casa;15,8;12
2025/26;Fiorentina;Fuori;14,2;13,1
2025/26;Genoa;Casa;14,7;12,8
2025/26;Genoa;Fuori;13,6;12,5
2025/26;Hellas Verona;Casa;9,2;15,1
2025/26;Hellas Verona;Fuori;8,6;16,8
2025/26;Inter;Casa;9,2;13,4
2025/26;Inter;Fuori;11,4;13
2025/26;Juventus;Casa;8,9;11,2
2025/26;Juventus;Fuori;10,2;13,1
2025/26;Lazio;Casa;14,1;11
2025/26;Lazio;Fuori;13,7;9,9
2025/26;Lecce;Casa;14,7;12,1
2025/26;Lecce;Fuori;12,1;13,3
2025/26;Milan;Casa;11,7;10,3
2025/26;Milan;Fuori;10,9;9,5
2025/26;Napoli;Casa;11,4;11,5
2025/26;Napoli;Fuori;11,4;11,5
2025/26;Parma;Casa;12,8;10,9
2025/26;Parma;Fuori;12,9;10,7
2025/26;Roma;Casa;13,2;12,6
2025/26;Roma;Fuori;13,5;15,1
2025/26;Torino;Casa;9,4;13,8
2025/26;Torino;Fuori;10,5;14,4
2025/26;Udinese;Casa;12,3;13,9
2025/26;Udinese;Fuori;9,7;13,4
2025/26;Pisa;Casa;12,2;13,3
2025/26;Pisa;Fuori;10;13,3
2025/26;Cremonese;Casa;12,1;13,3
2025/26;Cremonese;Fuori;12,5;13,9
2025/26;Sassuolo;Casa;12,7;12,1
2025/26;Sassuolo;Fuori;11,8;12,1
