Stagione 2024/25,Squadra,,Falli Subiti,Falli Commessi
2024/25,Athletic Bilbao ,Casa,"9,8","13,2"
2024/25,Atlético Madrid ,Casa,"11,2","10,4"
2024/25,Barcelona ,Casa,"11,9","9,9"
2024/25,Celta Vigo ,Casa,"11,5","12,3"
2024/25,Espanyol ,Casa,12,"13,1"
2024/25,Getafe ,Casa,"14,3","15,4"
2024/25,Girona ,Casa,"12,3","10,5"
2024/25,Mallorca ,Casa,"11,8","11,3"
2024/25,Osasuna ,Casa,"9,8","13,5"
2024/25,Real Betis,Casa,"13,5","10,5"
2024/25,Real Madrid,Casa,"13,1","8,2"
2024/25,Real Sociedad ,Casa,"11,1","14,3"
2024/25,Sevilla ,Casa,"11,4","13,2"
2024/25,Valencia ,Casa,"12,4","12,1"
2024/25,Villarreal ,Casa,"12,3","11,4"
2024/25,Rayo Vallecano ,Casa,"10,6",13
2024/25,Athletic Bilbao ,Fuori,"10,5","12,3"
2024/25,Atlético Madrid ,Fuori,"11,3","11,3"
2024/25,Barcelona ,Fuori,"12,6","9,4"
2024/25,Celta Vigo ,Fuori,"11,4",12
2024/25,Espanyol ,Fuori,"10,7","13,1"
2024/25,Getafe ,Fuori,"12,3","16,3"
2024/25,Girona ,Fuori,"10,8","12,5"
2024/25,Mallorca ,Fuori,"10,9","13,3"
2024/25,Osasuna ,Fuori,"10,2","13,2"
2024/25,Real Betis,Fuori,"14,1","12,3"
2024/25,Real Madrid,Fuori,"14,2","9,3"
2024/25,Real Sociedad ,Fuori,"10,9","12,1"
2024/25,Sevilla ,Fuori,"9,7","12,8"
2024/25,Valencia ,Fuori,"11,1","11,2"
2024/25,Villarreal ,Fuori,"12,1","11,8"
2024/25,Rayo Vallecano ,Fuori,"9,9","14,5"
