Stagione 2024/25,Squadra,,Falli Subiti,Falli Commessi
2024/25,Atalanta,Casa,"11,3","10,9"
2024/25,Bologna,Casa,16,"13,5"
2024/25,Cagliari,Casa,"11,2","12,9"
2024/25,Como,Casa,"14,1","12,8"
2024/25,Fiorentina,Casa,"15,5","11,9"
2024/25,Genoa,Casa,"12,3","12,6"
2024/25,Hellas Verona,Casa,"9,4","14,1"
2024/25,Inter,Casa,"10,6","10,6"
2024/25,Juventus,Casa,"9,9","12,5"
2024/25,Lazio,Casa,"12,1",11
2024/25,Lecce,Casa,"12,8","11,7"
2024/25,Milan,Casa,"9,8","10,5"
2024/25,Napoli,Casa,"9,9","10,3"
2024/25,Parma,Casa,"12,6","11,2"
2024/25,Roma,Casa,"12,7",10
2024/25,Torino,Casa,"11,1","12,3"
2024/25,Udinese,Casa,"10,1","14,8"
2024/25,Atalanta,Fuori,"9,4",12
2024/25,Bologna,Fuori,"15,8","14,8"
2024/25,Cagliari,Fuori,"9,7","13,4"
2024/25,Como,Fuori,"13,2","13,7"
2024/25,Fiorentina,Fuori,"13,4","11,2"
2024/25,Genoa,Fuori,"11,3","13,6"
2024/25,Hellas Verona,Fuori,"9,1","16,4"
2024/25,Inter,Fuori,"10,7","11,4"
2024/25,Juventus,Fuori,"9,9","12,7"
2024/25,Lazio,Fuori,"13,4","11,4"
2024/25,Lecce,Fuori,"9,6","12,8"
2024/25,Milan,Fuori,"12,7","11,3"
2024/25,Napoli,Fuori,"13,5","11,6"
2024/25,Parma,Fuori,"11,5","10,2"
2024/25,Roma,Fuori,"12,8","11,4"
2024/25,Torino,Fuori,"9,2","13,1"
2024/25,Udinese,Fuori,"9,9","13,8"
