Squadra;Partite Casa;Tiri Fatti Casa;Tiri Subiti Casa;Tiri in porta Fatti Casa;Tiri in porta Subiti Casa;Partite Trasferta;Tiri Fatti Trasferta;Tiri Subiti Trasferta;Tiri in porta Fatti Trasferta;Tiri in porta Subiti Trasferta
Arsenal;19;305;132;95;36;18;231;170;82;48
Aston Villa;19;261;215;92;82;18;210;259;73;82
Bournemouth;19;275;176;87;58;18;232;289;88;98
Brentford;19;228;236;78;77;18;166;245;67;78
Brighton & Hove Albion;18;249;176;92;63;19;233;255;86;74
Burnley;18;190;294;55;109;19;149;326;55;102
Chelsea;19;288;192;80;74;18;213;202;83;80
Crystal Palace;18;246;186;72;71;19;188;242;67;84
Everton;19;232;216;82;78;18;180;296;59;78
Fulham;18;248;191;70;60;19;215;250;63;87
Leeds United;19;272;210;83;68;18;193;251;65;86
Liverpool;18;303;198;90;68;19;262;226;77;83
Manchester City;18;295;157;113;52;19;283;200;89;70
Manchester United;19;340;196;130;67;18;245;232;79;72
Newcastle United;18;272;227;101;81;18;213;222;67;74
Nottingham Forest;18;270;212;71;73;19;191;277;80;86
Sunderland;18;208;217;63;67;18;167;315;54;96
Tottenham Hotspur;18;221;211;71;74;19;195;246;73;77
West Ham United;18;194;246;64;84;19;194;307;69;108
Wolverhampton Wanderers;19;193;233;68;85;18;161;280;51;86
