Squadra;Partite Casa;Tiri Fatti Casa;Tiri Subiti Casa;Tiri in porta Fatti Casa;Tiri in porta Subiti Casa;Partite Trasferta;Tiri Fatti Trasferta;Tiri Subiti Trasferta;Tiri in porta Fatti Trasferta;Tiri in porta Subiti Trasferta
Atalanta;17;294;175;88;45;15;187;196;60;74
Bologna;16;246;142;63;53;16;183;183;64;69
Cagliari;16;160;191;52;63;16;168;222;54;86
Como;17;279;129;108;48;15;185;165;59;59
Cremonese;15;153;223;54;74;17;136;308;47;101
Fiorentina;16;252;180;68;61;16;172;239;45;84
Genoa;17;209;183;71;60;15;169;232;58;78
Hellas Verona;15;170;183;64;61;17;193;236;58;70
Inter;16;299;138;114;54;16;265;147;84;41
Juventus;16;306;156;110;39;16;222;180;82;52
Lazio;16;194;191;70;71;16;158;236;55;63
Lecce;16;171;187;43;63;16;141;231;31;72
Milan;16;262;158;81;51;16;176;199;63;61
Napoli;15;198;164;79;41;17;221;164;75;44
Parma;16;194;216;45;72;16;155;238;45;65
Pisa;16;161;201;45;59;16;150;277;42;86
Roma;16;242;135;76;48;16;171;188;63;77
Sassuolo;16;164;229;56;75;16;172;233;63;88
Torino;16;194;208;70;68;16;188;229;65;72
Udinese;16;199;183;61;56;16;160;244;57;70
